codigo,descricao,cd_mun
667,CUTIAS,1600212
2487,MORENO,2609402
1,GUAJARA-MIRIM,1100106
2,ALTO ALEGRE DOS PARECIS,1100379
3,PORTO VELHO,1100205
4,BURITIS,1100452
5,JI-PARANA,1100122
6,CHUPINGUAIA,1100924
7,ARIQUEMES,1100023
8,CUJUBIM,1100940
9,CACOAL,1100049
10,NOVA UNIAO,1101435
11,PIMENTA BUENO,1100189
12,PARECIS,1101450
13,VILHENA,1100304
14,PIMENTEIRAS DO OESTE,1101468
15,JARU,1100114
16,PRIMAVERA DE RONDONIA,1101476
17,OURO PRETO DO OESTE,1100155
18,SAO FELIPE D'OESTE,1101484
19,PRESIDENTE MEDICI,1100254
20,SAO FRANCISCO DO GUAPORE,1101492
21,COSTA MARQUES,1100080
22,TEIXEIROPOLIS,1101559
23,COLORADO DO OESTE,1100064
24,VALE DO ANARI,1101757
25,ESPIGAO D'OESTE,1100098
26,AMAJARI,1400027
27,CEREJEIRAS,1100056
28,CANTA,1400175
29,ROLIM DE MOURA,1100288
30,CAROEBE,1400233
31,CALDAZINHA,5204557
32,IRACEMA,1400282
33,ALTA FLORESTA D'OESTE,1100015
34,PACARAIMA,1400456
35,ALVORADA D'OESTE,1100346
36,RORAINOPOLIS,1400472
37,CABIXI,1100031
38,UIRAMUTA,1400704
39,MACHADINHO D'OESTE,1100130
40,ANAPU,1500859
41,NOVA BRASILANDIA D'OESTE,1100148
42,BANNACH,1501253
43,SANTA LUZIA D'OESTE,1100296
44,BELTERRA,1501451
45,SAO MIGUEL DO GUAPORE,1100320
46,CACHOEIRA DO PIRIA,1501956
47,NOVA MAMORE,1100338
48,CANAA DOS CARAJAS,1502152
49,JESUPOLIS,5212055
50,CURUA,1502855
51,PROFESSOR JAMIL,5218391
52,FLORESTA DO ARAGUAIA,1503044
53,SANTO ANTONIO DE GOIAS,5219738
54,MARITUBA,1504422
55,COCALZINHO DE GOIAS,5205513
56,NOVA IPIXUNA,1504976
57,TEREZOPOLIS DE GOIAS,5221197
58,PICARRA,1505635
59,UIRAPURU,5221577
60,PLACAS,1505650
61,BURITINOPOLIS,5203962
62,QUATIPURU,1506112
63,BURITI DE GOIAS,5203939
64,SAO JOAO DA PONTA,1507466
65,GUARAITA,5209291
66,SAPUCAIA,1507755
67,VILA BOA,5222203
68,TRACUATEUA,1508035
69,INACIOLANDIA,5209937
70,VITORIA DO JARI,1600808
71,APARECIDA DO RIO DOCE,5201454
72,AGUIARNOPOLIS,1700301
73,CHAPADAO DO CEU,5205471
74,BANDEIRANTES DO TOCANTINS,1703057
75,PEROLANDIA,5216452
76,BARRA DO OURO,1703073
77,CIDADE OCIDENTAL,5205497
78,CHAPADA DE AREIA,1704600
79,MONTIVIDIU DO NORTE,5213772
80,CHAPADA DA NATIVIDADE,1705102
81,CASTELANDIA,5205059
82,CRIXAS DO TOCANTINS,1706258
83,SANTO ANTONIO DA BARRA,5219712
84,IPUEIRAS,1709807
85,ALTO HORIZONTE,5200555
86,LAVANDEIRA,1712157
87,NOVA IGUACU DE GOIAS,5214879
88,LUZINOPOLIS,1712454
89,COTRIGUACU,5103379
90,MONTE SANTO DO TOCANTINS,1713700
91,PLANALTO DA SERRA,5106455
92,OLIVEIRA DE FATIMA,1715507
93,SAO PEDRO DA CIPA,5107404
94,PUGMIL,1718451
95,PONTAL DO ARAGUAIA,5106653
96,SANTA RITA DO TOCANTINS,1718899
97,QUERENCIA,5107065
98,SANTA TEREZINHA DO TOCANTINS,1720002
99,RIBEIRAOZINHO,5107198
100,TALISMA,1720978
101,PORTO ESTRELA,5106851
102,TUPIRAMA,1721257
103,NOVA MARILANDIA,5108857
104,AGUA DOCE DO MARANHAO,2100154
105,BRASILEIA,1200104
106,ALTO ALEGRE DO MARANHAO,2100436
107,CRUZEIRO DO SUL,1200203
108,ALTO ALEGRE DO PINDARE,2100477
109,MANCIO LIMA,1200336
110,AMAPA DO MARANHAO,2100550
111,NOVA MARINGA,5108907
112,APICUM-ACU,2100832
113,FEIJO,1200302
114,ARAGUANA,2100873
115,SANTO AFONSO,5107263
116,BACABEIRA,2101251
117,NOVA BANDEIRANTES,5106158
118,BACURITUBA,2101350
119,NOVA MONTE VERDE,5108956
120,BELAGUA,2101731
121,NOVA GUARITA,5108808
122,BELA VISTA DO MARANHAO,2101772
123,SANTA CARMEM,5107248
124,BERNARDO DO MEARIM,2101939
125,TABAPORA,5107941
126,BOA VISTA DO GURUPI,2101970
127,ALTO BOA VISTA,5100359
128,BOM JESUS DAS SELVAS,2102036
129,CANABRAVA DO NORTE,5102694
130,BOM LUGAR,2102077
131,CONFRESA,5103353
132,BREJO DE AREIA,2102150
133,SAO JOSE DO XINGU,5107354
134,BURITICUPU,2102325
135,GLORIA D'OESTE,5103957
136,BURITIRANA,2102358
137,LAMBARI D'OESTE,5105234
138,CACHOEIRA GRANDE,2102374
139,RIO BRANCO,1200401
140,CAMPESTRE DO MARANHAO,2102556
141,ALCINOPOLIS,5000252
142,CAPINZAL DO NORTE,2102754
143,NOVA ALVORADA DO SUL,5006002
144,CENTRAL DO MARANHAO,2103125
145,SENA MADUREIRA,1200500
146,CENTRO DO GUILHERME,2103158
147,TARAUACA,1200609
148,CENTRO NOVO DO MARANHAO,2103174
149,XAPURI,1200708
150,CIDELANDIA,2103257
151,PLACIDO DE CASTRO,1200385
152,CONCEICAO DO LAGO-ACU,2103554
153,SENADOR GUIOMARD,1200450
154,DAVINOPOLIS,2103752
155,MANOEL URBANO,1200344
156,FEIRA NOVA DO MARANHAO,2104073
157,ASSIS BRASIL,1200054
158,FERNANDO FALCAO,2104081
159,NOVO HORIZONTE DO SUL,5006259
160,FORMOSA DA SERRA NEGRA,2104099
161,JAPORA,5004809
162,GOVERNADOR EDISON LOBAO,2104552
163,LAGUNA CARAPA,5005251
164,GOVERNADOR LUIZ ROCHA,2104628
165,ANGICO,1701051
